Name,Autor,Review,Review qntd,Format,Price
"Complete EmberJS programming Developer in 2021: Zero to Mastery: How to become a EmberJS programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",Matt Taddy,4.4 out of 5 stars,82,Hardcover,$24.39
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),,4.4 out of 5 stars,43,Paperback,$30.08
Funny Data Sciene Gift - AI Data Scientist Machine Learning T-Shirt,,,,,$17.99
Funny Data Sciene Gift - AI Data Scientist Machine Learning T-Shirt,,,,,$17.99
Womens Data Scientist Machine Learning Neural Network V-Neck T-Shirt,,,,,$19.99
Data Sciene Gift - Data Scientist Machine Learning Data Nerd T-Shirt,,,,,$17.99
"Build Your Own AI Investor: With Machine Learning and Python, Step by Step, Second Edition",,,,Paperback,$25.61
"Foundations of Machine Learning, second edition (Adaptive Computation and Machine Learning series)",,4.3 out of 5 stars,20,Hardcover,$37.50
Machine Learning for Cybersecurity,,,,DVD,$8.99
"Deep Learning Illustrated: A Visual, Interactive Guide to Artificial Intelligence (Addison-Wesley Data & Analytics Series)",,4.5 out of 5 stars,142,Paperback,$44.99
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.5 out of 5 stars,"1,111",Paperback,
"Linear Algebra and Optimization with Applications to Machine Learning: Volume I: Linear Algebra for Computer Vision, Robotics, and Machine Learning",,5.0 out of 5 stars,1,Paperback,$78.00
Learning From Data,Yaser S. Abu-Mostafa,4.5 out of 5 stars,224,Hardcover,
Retooling Poverty Targeting Using Out-of-Sample Validation and Machine Learning,,,,Kindle Edition,$0.99
Essentials of Pattern Recognition (An Accessible Approach),,,,Hardcover,$66.68
Machine Learning: The New AI (The MIT Press Essential Knowledge series),,4.2 out of 5 stars,159,Paperback,
Machine Learning in Medicine – A Complete Overview,,,,eTextbook,$20.70
Deep Learning: A Visual Approach,,,,Kindle,$59.99
An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),,4.8 out of 5 stars,"1,066",Hardcover,$35.29
"Machine Learning in the Oil and Gas Industry: Including Geosciences, Reservoir Engineering, and Production Engineering with Python",,4.9 out of 5 stars,12,Paperback,$26.99
Practical Automated Machine Learning on Azure: Using Azure Machine Learning to Quickly Build AI Solutions,,4.0 out of 5 stars,15,Paperback,$45.34
Applications of Machine Learning in Big-Data Analytics and Cloud Computing (River Publishers Series in Information Science and Technology),,,,Hardcover,$115.00
Deep Learning with Structured Data,Mark Ryan,,,Paperback,$58.77
Machine Learning for Red Team Hackers: Learn The Most Powerful Tools in Cybersecurity,,,,Paperback,$29.99
Machine Learning for Kids (Tinker Toddlers ),,4.2 out of 5 stars,54,Kindle,$0.00
Machine Learning in the AWS Cloud: Add Intelligence to Applications with Amazon SageMaker and Amazon Rekognition,Abhishek Mishra,4.7 out of 5 stars,4,Paperback,$50.00
The Secret Life of Chaos,From,4.4 out of 5 stars,134,Prime Video,$1.99
Introduction to Algorithms for Data Mining and Machine Learning,,4.0 out of 5 stars,2,Paperback,$52.46
A Comparative Study of Visualization Techniques for Data Mining,,,,Kindle,$7.99
Lifelong Machine Learning: Second Edition (Synthesis Lectures on Artificial Intelligence and Machine Le),,4.5 out of 5 stars,2,Paperback,$72.94
Data Sciene Gift - Data Scientist Machine Learning Data Nerd T-Shirt,,,,,$17.99
Data Sciene Gift - Data Scientist Machine Learning Data Nerd T-Shirt,,,,,$17.99
Bump 'n Go Learning Airplane Toy – Toddler Learning Toys Device to Develop Beginning Counting and ABCs Skills – Ideal Toy Airplane for Babies 12+ Months,,4.6 out of 5 stars,,,$31.19
Data Science Machine Learning Neural Network T-Shirt,,5.0 out of 5 stars,,,$17.99
"Pop 'N Play Music Center – Xylophone Baby Toy and Music Play Station – 6 Piano Keys, Colorful Balls, Exciting Hammer Toy, Fun to Play and Learn – No Batteries Required, for Toddlers 18+ Months",,4.5 out of 5 stars,,,$23.99
"6 Pieces Construction Vehicles Toy Trucks Set - Bulldozer, Cement Mixer, Dumper, Forklift, Excavator and Road Roller for Your Little Contractor - Push and Go Sliding Toys for Toddlers 18m+",,4.6 out of 5 stars,,,$19.99
I Love Machine Learning Premium T-Shirt,,,,,$31.99
"Data Governance: The Definitive Guide: People, Processes, and Tools to Operationalize Data Trustworthiness",Evren Eryurek,,,Kindle,$43.19
"Machine Learning with R: Expert techniques for predictive modeling to solve all your data analysis problems, 2nd Edition",,4.5 out of 5 stars,105,Paperback,$49.83
Machine Learning for Cybersecurity Cookbook: Over 80 recipes on how to implement machine learning algorithms for building security systems using Python,,4.1 out of 5 stars,13,Kindle,$19.79
Machine Learning in Chemistry: The Impact of Artificial Intelligence (Theoretical and Computational Chemistry),,5.0 out of 5 stars,1,Hardcover,$227.35
"Complete Next.js programming Developer in 2021: Zero to Mastery: How to become a Next.js programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
Practical Artificial Intelligence with Swift: From Fundamental Theory to Development of AI-Driven Apps,,4.5 out of 5 stars,20,Paperback,$39.49
Introduction to Machine Learning (Adaptive Computation and Machine Learning series),Ethem Alpaydin,4.2 out of 5 stars,91,Hardcover,$59.99
"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines",Kirill Kolodiazhnyi,4.5 out of 5 stars,10,Paperback,$49.99
Financial Signal Processing and Machine Learning (Wiley - IEEE),,3.3 out of 5 stars,2,Kindle,$104.00
Deep Credit Risk: Machine Learning with Python,Harald Scheule,4.0 out of 5 stars,10,Paperback,$89.00
"Complete Rust programming Developer in 2021: Zero to Mastery: How to become a Rust programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
Machine Learning and Deep Learning Using Python and TensorFlow,,,,Hardcover,$99.00
"Handbook of Research on Machine and Deep Learning Applications for Cyber Security (Advances in Information Security, Privacy, and Ethics)",,,,Hardcover,$239.90
Machine Learning and AI for Healthcare: Big Data for Improved Health Outcomes,Arjun Panesar,,,Paperback,$44.99
Ensemble Methods: Foundations and Algorithms (Chapman & Hall/CRC Data Mining and Knowledge Discovery Serie),$58.25,4.0 out of 5 stars,9,Kindle,$13.54
Data Science and Machine Learning Interview Questions Using Python: A Complete Question Bank to Crack Your Interview (English Edition),Vishwanathan Narayanan,,,Paperback,$24.95
Grokking Machine Learning,,,,Paperback,$49.99
Data Mining: Practical Machine Learning Tools and Techniques (The Morgan Kaufmann Series in Data Management Systems),,4.3 out of 5 stars,121,Paperback,
Machine Learning,,4.2 out of 5 stars,240,Paperback,
"Complete Delphi programming Developer in 2021: Zero to Mastery: How to become a Delphi programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
"Data Mining: Practical Machine Learning Tools and Techniques, Second Edition (Morgan Kaufmann Series in Data Management Systems)",,4.1 out of 5 stars,45,Paperback,
Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists,Alice Zheng,4.1 out of 5 stars,48,Paperback,$43.32
"Python for Probability, Statistics, and Machine Learning",,4.1 out of 5 stars,9,Hardcover,$32.59
"Detecting Regime Change in Computational Finance: Data Science, Machine Learning and Algorithmic Trading",Jun Chen,4.5 out of 5 stars,2,Hardcover,$99.95
Machine Learning,From,5.0 out of 5 stars,1,Prime Video,$1.99
Deep Learning Techniques for Biomedical and Health Informatics (Studies in Big Data Book 68),,,,Kindle,$30.00
"Complete Redux programming Developer in 2021: Zero to Mastery: How to become a Redux programming Developer and get hired! Build 12+ projects, learn , Machine Learning + more!",,,,Kindle Edition,$0.00
Exploring Zynq MPSoC: With PYNQ and Machine Learning Applications,,4.7 out of 5 stars,4,Paperback,$67.44
